epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6235937476158142,0.7040662169456482,0.0010000000474974513,1.93056321144104,0.31134021282196045,0.6910755038261414,0.7906249761581421,0.8105063438415527,1.5746896266937256,0.47911548614501953,0.6132075190544128
1,0.7076562643051147,0.7812957167625427,0.0010000000474974513,1.4474434852600098,0.3852458894252777,0.7170099020004272,0.7918750047683716,0.852745771408081,1.197853684425354,0.4842105209827423,0.7232704162597656
2,0.7314062714576721,0.8036243319511414,0.0010000000474974513,1.1549715995788574,0.41168829798698425,0.725400447845459,0.7975000143051147,0.8566312789916992,0.9652774930000305,0.4938775599002838,0.7610062956809998
3,0.7389062643051147,0.8179786801338196,0.0010000000474974513,0.9540866017341614,0.42098331451416016,0.7315026521682739,0.7774999737739563,0.8587971925735474,0.8391665816307068,0.46481481194496155,0.7893081903457642
4,0.7537500262260437,0.8255459070205688,0.0010000000474974513,0.8258404731750488,0.43990930914878845,0.7398931980133057,0.7906249761581421,0.8610416054725647,0.7234513163566589,0.4831683039665222,0.7672955989837646
5,0.7534375190734863,0.8301436901092529,0.0010000000474974513,0.739932119846344,0.441007524728775,0.7612509727478027,0.8018749952316284,0.8642144799232483,0.6377416849136353,0.5010395050048828,0.7578616142272949
6,0.7562500238418579,0.8273392915725708,0.0010000000474974513,0.6896553039550781,0.44394415616989136,0.7520976066589355,0.8199999928474426,0.8634528517723083,0.5800622701644897,0.5348837375640869,0.7232704162597656
7,0.7612500190734863,0.8338822722434998,0.0010000000474974513,0.6434749364852905,0.4501149356365204,0.746758222579956,0.8043749928474426,0.8691374659538269,0.5610874891281128,0.5051975250244141,0.7641509175300598
8,0.7639062404632568,0.8378743529319763,0.0010000000474974513,0.6142712235450745,0.45400184392929077,0.752860426902771,0.7987499833106995,0.8697458505630493,0.545167088508606,0.4960317313671112,0.7861635088920593
9,0.764843761920929,0.8390010595321655,0.0010000000474974513,0.5940859317779541,0.4553817808628082,0.7551487684249878,0.8006250262260437,0.8679882884025574,0.5149326920509338,0.4989473819732666,0.7452830076217651
10,0.7654687762260437,0.8377496004104614,0.0010000000474974513,0.5818325281143188,0.4553571343421936,0.739130437374115,0.7925000190734863,0.8708545565605164,0.5264754295349121,0.48643410205841064,0.7893081903457642
11,0.7637500166893005,0.8362993001937866,0.0010000000474974513,0.5743503570556641,0.4537505805492401,0.7520976066589355,0.8056250214576721,0.8754844665527344,0.5060192346572876,0.5071868300437927,0.7767295837402344
12,0.7739062309265137,0.8391965627670288,0.0010000000474974513,0.5631499290466309,0.46721312403678894,0.739130437374115,0.7862499952316284,0.8684531450271606,0.5103890895843506,0.4774436056613922,0.7987421154975891
13,0.76953125,0.8399937152862549,0.0010000000474974513,0.5583672523498535,0.46200186014175415,0.7604881525039673,0.7987499833106995,0.8678914308547974,0.5090133547782898,0.49598392844200134,0.7767295837402344
14,0.7631250023841858,0.8388465642929077,0.0010000000474974513,0.555483877658844,0.45278674364089966,0.7498093247413635,0.8050000071525574,0.8742175102233887,0.47626689076423645,0.5061983466148376,0.7704402804374695
15,0.7710937261581421,0.8453230261802673,0.0010000000474974513,0.5408283472061157,0.46398502588272095,0.7566742897033691,0.8174999952316284,0.8566214442253113,0.49314019083976746,0.53125,0.694968581199646
16,0.7774999737739563,0.8388016223907471,0.0010000000474974513,0.5486137270927429,0.47223585844039917,0.7330282330513,0.7943750023841858,0.8715388774871826,0.48963168263435364,0.4891089200973511,0.7767295837402344
17,0.7692187428474426,0.8433631062507629,0.0010000000474974513,0.5403846502304077,0.46128731966018677,0.7543859481811523,0.8068749904632568,0.8734645247459412,0.5161829590797424,0.5092024803161621,0.7830188870429993
18,0.7671874761581421,0.8417494893074036,0.0010000000474974513,0.5421181321144104,0.4583527147769928,0.7513348460197449,0.7993749976158142,0.8653882145881653,0.5071438550949097,0.49700599908828735,0.7830188870429993
19,0.7709375023841858,0.8404301404953003,0.0010000000474974513,0.5424032807350159,0.4633222818374634,0.746758222579956,0.8100000023841858,0.8691791892051697,0.48506850004196167,0.5144628286361694,0.7830188870429993
20,0.7699999809265137,0.8518274426460266,0.0005000000237487257,0.5233713984489441,0.4627487361431122,0.7627764940261841,0.8174999952316284,0.8723986744880676,0.4732803702354431,0.5285087823867798,0.7578616142272949
21,0.7835937738418579,0.8457090258598328,0.0005000000237487257,0.5270629525184631,0.48175543546676636,0.7452326416969299,0.7856249809265137,0.8694158792495728,0.4946732223033905,0.47689464688301086,0.8113207817077637
22,0.7696874737739563,0.8553865551948547,0.0005000000237487257,0.5111246109008789,0.4627683758735657,0.7726926207542419,0.7956249713897705,0.8734509944915771,0.480056494474411,0.4911937415599823,0.7893081903457642
23,0.7818750143051147,0.8548363447189331,0.0005000000237487257,0.5098282694816589,0.47961631417274475,0.7627764940261841,0.8106250166893005,0.8733172416687012,0.4614469110965729,0.516059935092926,0.7578616142272949
24,0.7676562666893005,0.8530007600784302,0.0005000000237487257,0.5117717981338501,0.45970696210861206,0.7658275961875916,0.7862499952316284,0.8661891222000122,0.47861796617507935,0.47718632221221924,0.7893081903457642
25,0.7724999785423279,0.8540458083152771,0.0005000000237487257,0.509040892124176,0.4659464657306671,0.7566742897033691,0.7862499952316284,0.870275616645813,0.47770148515701294,0.47752809524536133,0.801886796951294
26,0.780468761920929,0.8537477254867554,0.0005000000237487257,0.5113379955291748,0.47789275646209717,0.774980902671814,0.8068749904632568,0.8680828213691711,0.46789097785949707,0.5094339847564697,0.7641509175300598
27,0.7790625095367432,0.8525485992431641,0.0005000000237487257,0.5111880302429199,0.4755111634731293,0.7627764940261841,0.8125,0.8756169676780701,0.4663304388523102,0.5185950398445129,0.7893081903457642
28,0.7799999713897705,0.8529985547065735,0.0005000000237487257,0.5113738775253296,0.4770033061504364,0.7673531770706177,0.8106250166893005,0.8725091218948364,0.46661555767059326,0.5154638886451721,0.7861635088920593
29,0.7856249809265137,0.8610548377037048,0.0002500000118743628,0.49727150797843933,0.4852728247642517,0.766590416431427,0.796875,0.8734080791473389,0.4569694995880127,0.49320387840270996,0.7987421154975891
30,0.7792187333106995,0.8645702004432678,0.0002500000118743628,0.4898146092891693,0.4764542877674103,0.7871853709220886,0.8112499713897705,0.8760879039764404,0.45546790957450867,0.5165289044380188,0.7861635088920593
31,0.7956249713897705,0.8644322752952576,0.0002500000118743628,0.4895757734775543,0.5007503628730774,0.7635392546653748,0.8081250190734863,0.8762019276618958,0.46305006742477417,0.5111111402511597,0.795597493648529
32,0.7867187261581421,0.8664265871047974,0.0002500000118743628,0.48622363805770874,0.48715507984161377,0.7810831665992737,0.809374988079071,0.875214695930481,0.4587421119213104,0.5132383108139038,0.7924528121948242
33,0.7904687523841858,0.8684190511703491,0.0002500000118743628,0.48119330406188965,0.49268293380737305,0.7704042792320251,0.8243749737739563,0.8749030828475952,0.44553646445274353,0.5406593680381775,0.7735849022865295
34,0.7865625023841858,0.8660340309143066,0.0002500000118743628,0.4851371645927429,0.4866049587726593,0.7620137333869934,0.8050000071525574,0.8711869120597839,0.4636041522026062,0.5060241222381592,0.7924528121948242
35,0.7867187261581421,0.866868257522583,0.0002500000118743628,0.48395442962646484,0.48694390058517456,0.7681159377098083,0.7987499833106995,0.8726427555084229,0.4656873047351837,0.4960317313671112,0.7861635088920593
36,0.7940624952316284,0.8725466132164001,0.0002500000118743628,0.47570475935935974,0.4983132481575012,0.78871089220047,0.8018749952316284,0.8764300346374512,0.45628929138183594,0.5009980201721191,0.7893081903457642
37,0.7846875190734863,0.8666887283325195,0.0002500000118743628,0.4828616678714752,0.48396360874176025,0.7711670398712158,0.8162500262260437,0.8734387159347534,0.45478832721710205,0.5260869860649109,0.7610062956809998
38,0.7901562452316284,0.8683502674102783,0.0002500000118743628,0.48012012243270874,0.4920870363712311,0.7589626312255859,0.8075000047683716,0.8719240427017212,0.4453524053096771,0.5104602575302124,0.7672955989837646
39,0.79296875,0.8696550726890564,0.0002500000118743628,0.47799718379974365,0.49657198786735535,0.7734553813934326,0.7856249809265137,0.8718173503875732,0.4611178934574127,0.47609943151474,0.7830188870429993
40,0.7920312285423279,0.874869167804718,0.0002500000118743628,0.4699956178665161,0.4951503276824951,0.7787948250770569,0.7918750047683716,0.8692822456359863,0.4691654443740845,0.48554912209510803,0.7924528121948242
41,0.7887499928474426,0.870836079120636,0.0002500000118743628,0.47510284185409546,0.4903256297111511,0.7925248146057129,0.8075000047683716,0.8735981583595276,0.44750991463661194,0.5104602575302124,0.7672955989837646
42,0.7792187333106995,0.8723623156547546,0.0002500000118743628,0.47216343879699707,0.4763011038303375,0.7818459272384644,0.7943750023841858,0.8750159740447998,0.45789042115211487,0.48932039737701416,0.7924528121948242
43,0.7925000190734863,0.8726778030395508,0.0002500000118743628,0.4721185564994812,0.4958677589893341,0.7780320644378662,0.8043749928474426,0.8705466985702515,0.46512919664382935,0.5051760077476501,0.7672955989837646
44,0.7975000143051147,0.8774971961975098,0.0001250000059371814,0.46556586027145386,0.5036354660987854,0.7925248146057129,0.7987499833106995,0.8700450658798218,0.46200764179229736,0.4959999918937683,0.7798742055892944
45,0.7951562404632568,0.8802734613418579,0.0001250000059371814,0.46059903502464294,0.5,0.7833714485168457,0.8137500286102295,0.8716419339179993,0.44842395186424255,0.5210970640182495,0.7767295837402344
46,0.7970312237739563,0.8813279271125793,0.0001250000059371814,0.45960748195648193,0.5029013752937317,0.7932875752449036,0.809374988079071,0.8733736276626587,0.4484475255012512,0.5134575366973877,0.7798742055892944
47,0.801562488079071,0.8816056847572327,0.0001250000059371814,0.45808106660842896,0.5099853873252869,0.7986270189285278,0.8087499737739563,0.8718982934951782,0.4456176459789276,0.5123966932296753,0.7798742055892944
48,0.8045312762260437,0.8803377747535706,0.0001250000059371814,0.45918914675712585,0.5149999856948853,0.7856597900390625,0.7943750023841858,0.8741353750228882,0.45627325773239136,0.48919451236724854,0.7830188870429993
